Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3.25
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3.25
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3.25
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3.25
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3.25
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,3.25
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,3.25
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,3.25
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,3.25
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain area (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,3.25
